Unnamed: 0,Work-Related Fear,Physical Context,Social Context,Physiological Context
,Concern about being injured during a public altercation,Cycling with a local club on a city route,On a city street while navigating construction,"Feeling comfortable, no symptoms"
,Fear of getting a severe cut while using a kitchen knife,With family in the kitchen preparing a meal,In a kitchen preparing a meal,"Slight discomfort in the hand, no other symptoms"
,Worry about slipping and falling in a crowded shopping mall,Shopping with friends at a mall during the weekend,In a shopping mall during peak hours,Mild shortness of breath after climbing stairs
,Fear of being stung by a wasp in the garden,Gardening with a neighbor in the backyard,In a backyard garden tending to plants,"Normal breathing, steady heart rate"
,Concern about developing food allergies after trying new cuisine,At a food festival with friends trying new dishes,At a food festival trying new dishes,"No noticeable physical changes, feeling steady"
,Fear of falling off a bike while riding on a steep trail,Cycling with a local biking group on a scenic trail,On a bike trail with sharp turns,Slightly increased pulse due to exertion
,Worry about being hit by falling objects from a construction site,Walking past a construction site with a coworker,Walking near a construction site,Minor sweating due to nervousness
,Fear of a severe headache turning into something serious,At home resting with a family member nearby,At home resting after a long day,"No tension, breathing is even"
,Concern about stepping on sharp objects while walking barefoot,Playing barefoot in the backyard with children,Walking barefoot in the backyard,Mild irritation from physical activity
,Fear of a car tire bursting during a high-speed drive,Driving with a friend on a long highway journey,On a highway during a long drive,No significant physical manifestations
,Worry about catching a contagious illness in a public space,Sitting in a crowded waiting room with other patients,In a crowded waiting area at a clinic,"Steady breathing, feeling calm"
,Fear of burning oneself while cooking on a stovetop,Cooking dinner with a partner in the kitchen,Cooking in the kitchen with a hot stove,"Heart rate slightly elevated, calm otherwise"
,Concern about being injured while playing with pets,Playing fetch with a pet in the backyard,Playing fetch with a dog in the living room,No noticeable physical reactions
,Fear of accidentally swallowing a small object,Eating dinner with family in the dining room,In a dining room eating with family,Minor fatigue after extended activity
,Worry about tripping on uneven flooring at home,Walking with a friend through a toy-strewn hallway,In a hallway with scattered toys,"Breathing is calm, heart rate normal"
,Fear of experiencing severe motion sickness on a long drive,Driving with colleagues on a business trip,In a car on a winding road,"Mildly increased alertness, no tension"
,Concern about being caught in an escalator malfunction,Shopping with a friend in a department store,On an escalator in a department store,"No physical symptoms, steady physiological state"
,Fear of being trapped in a small room during a power outage,In a small meeting room with coworkers during a break,In a small office with limited ventilation,Heart rate and breathing remain steady
,Worry about exposure to toxic fumes in an industrial area,Walking with a friend in an industrial area,In an industrial area near a warehouse,"Slight warmth in hands, no other changes"
,Fear of fainting from overheating on a hot day,Traveling on a crowded bus with other passengers,On a crowded bus during a heatwave,"Feeling neutral, no physical discomfort"
,Concern about falling ill from drinking contaminated water,Sitting near a public fountain with a group of friends,Near a public fountain in a park,No physiological manifestations observed
,Fear of being in a car accident during a rainstorm,Driving during a rainstorm with family in the car,Driving on a slippery road during rain,"Mild fatigue, steady breathing"
,Worry about cutting oneself on sharp edges of furniture,Shopping with a friend in a furniture store,Walking through a furniture store,No physical signs of stress or discomfort
,Fear of choking on small bones while eating fish,Eating at a seafood restaurant with colleagues,At a seafood restaurant eating grilled fish,"Heart rate normal, relaxed breathing"
,Concern about stepping into a pothole and twisting an ankle,Walking with a group through a dimly lit parking lot,In a parking lot with poor lighting,No noticeable physiological effects
,Fear of sudden muscle cramps while driving,Driving with a family member on a weekend trip,Driving a car on a busy street,Slight exertion from light physical activity
,Worry about slipping and hitting the head in a swimming pool,Swimming with friends at a crowded community pool,At a swimming pool during peak hours,"Normal heart rate, even breathing"
,Fear of developing severe blisters from new shoes,Shopping with a friend for new shoes,Shopping for new shoes at a store,"Calm physiological state, no changes"
,Concern about falling from a ladder while doing housework,Cleaning a high shelf with a roommate at home,On a stepladder reaching a high shelf,"Heart rate steady, no tension in muscles"
,Fear of being caught in a crowd crush at a public event,Attending a concert with friends in a crowded venue,In a concert venue during an event,No symptoms of physical distress
,Worry about accidentally locking oneself in a small space,Riding an elevator with colleagues to a meeting,In an elevator in a high-rise building,"Slightly heightened focus, no discomfort"
,Fear of a sudden allergic reaction to cleaning chemicals,Shopping with a group of friends at a market,At a market with many people shopping,"Heart rate steady, calm state"
,Concern about getting pricked by a stray needle in public,Walking with family through a busy park,In a public park during a busy weekend,No physical changes noticed
,Fear of being scratched by a stray cat while outdoors,At a garden center selecting plants with neighbors,In a garden center selecting plants,"Slight muscle tension, no significant effects"
,Worry about slipping on spilled liquids in a grocery store,Gardening with friends in a backyard,In a workshop using gardening tools,"Breathing remains calm, steady pulse"
,Fear of cutting oneself on sharp tools while gardening,Browsing a hardware store with a family member,Standing on a balcony overlooking a city,"Slight warmth, feeling relaxed"
,Concern about falling off an unstable chair while reaching up,Walking with a friend on a remote forest trail,At a hardware store browsing for supplies,No tension or physiological symptoms
,Fear of a sudden ear infection causing pain and imbalance,In a park with family during a local festival,On a forest trail near a campsite,"Feeling neutral, breathing steady"
,Worry about breathing issues after exposure to dusty environments,Walking through a parking garage with coworkers,In a crowded park during a festival,No changes in physiological state
,Fear of a heavy object falling and injuring toes,At a poolside barbecue with friends and neighbors,In a parking garage near an entrance,"Slightly increased alertness, steady pulse"
,Concern about a child choking on small toys,Shopping at a bakery with family members,At a poolside with family and friends,No symptoms of physical arousal
,Fear of spraining a wrist while lifting heavy items,In a park during a local sports event with friends,At a bakery buying fresh bread,"Heart rate normal, body relaxed"
,Worry about an insect crawling into an ear while sleeping,Walking near a lake with a hiking group,In a park during a community event,"Breathing is calm, feeling comfortable"
,Fear of encountering a wild animal while camping,Walking with coworkers through a suburban street,On a trail near a small lake,No physiological changes detected
,Concern about being hit by a stray ball in a park,Under a tree with a friend during light rain,In a suburban street near construction,"Slightly heightened awareness, no discomfort"
,Fear of catching a waterborne illness from swimming in a lake,Cleaning a storeroom with family members,Under a tree during a light rain,"Breathing is steady, no tension"
,Worry about getting a splinter from wooden surfaces,Fixing a small appliance with a roommate,In a storeroom organizing supplies,Slight exertion felt in limbs
,Fear of accidentally spilling hot liquids and getting burned,Watching a soccer game with neighbors in the park,At home fixing a small appliance,No physical symptoms observed
,Concern about being caught in a falling tree branch during a storm,Walking with a friend on a street with barriers,In a park during a sports match,"Normal state, heart rate steady"
,Fear of being hurt in a minor household accident,Cycling in a group on a busy city route,On a busy road near an open manhole,Slight warmth in hands and feet
,Worry about a minor bruise turning into a larger issue,Shopping with family members at a local market,In a street with temporary barriers,"Feeling calm, breathing evenly"
